Date,Confirmatory Lab Percent Positive (Daily),Confirmatory Lab Total Positive (Daily),Confirmatory Lab Total Tested (Daily),Confirmatory Lab 7 Day Percent Positive,Presumptive Lab Percent Positive (Daily),Presumptive Lab Total Positive (Daily),Presumptive Lab Total Tested (Daily),Presumptive Lab 7 Day Percent Positive,Confirmatory and Presumptive Lab Total Positive (Daily),Confirmatory and Presumptive Lab Total Tested (Daily),Confirmatory and Presumptive Lab Percent Positive (Daily),Confirmatory and Presumptive Lab 7 Day Percent Positive
3/29/2022,0.022,364,16359,0.023,0.019,106,5724,0.015,470,22083,0.021,0.02
3/28/2022,0.023,281,12141,0.023,0.012,110,9026,0.015,391,21167,0.018,0.02
3/27/2022,0.025,186,7361,0.023,0.023,62,2699,0.015,248,10060,0.025,0.02
3/26/2022,0.023,248,11011,0.022,0.022,79,3512,0.015,327,14523,0.023,0.02
3/25/2022,0.021,350,16520,0.023,0.012,93,7843,0.014,443,24363,0.018,0.02
3/24/2022,0.022,345,15374,0.023,0.012,116,9756,0.014,461,25130,0.018,0.02
3/23/2022,0.024,410,17356,0.023,0.016,112,6867,0.014,522,24223,0.022,0.02
3/22/2022,0.022,400,18590,0.023,0.016,118,7610,0.014,518,26200,0.02,0.02
3/21/2022,0.023,349,15053,0.024,0.012,141,11285,0.014,490,26338,0.019,0.02
3/20/2022,0.021,164,7783,0.024,0.027,85,3128,0.014,249,10911,0.023,0.021
3/19/2022,0.025,251,10099,0.025,0.017,64,3843,0.014,315,13942,0.023,0.021
3/18/2022,0.023,380,16503,0.025,0.012,112,9146,0.014,492,25649,0.019,0.021
3/17/2022,0.024,379,15785,0.025,0.009,96,10964,0.014,475,26749,0.018,0.021
3/16/2022,0.023,412,17570,0.025,0.018,128,7269,0.015,540,24839,0.022,0.021
3/15/2022,0.025,458,18154,0.026,0.014,128,9237,0.015,586,27391,0.021,0.022
3/14/2022,0.028,380,13633,0.026,0.013,181,13805,0.016,561,27438,0.02,0.023
3/13/2022,0.028,210,7471,0.027,0.02,73,3650,0.017,283,11121,0.025,0.023
3/12/2022,0.024,266,11082,0.028,0.022,88,4042,0.017,354,15124,0.023,0.024
3/11/2022,0.023,392,17056,0.028,0.014,141,9729,0.018,533,26785,0.02,0.024
3/10/2022,0.026,416,15897,0.03,0.012,166,13475,0.018,582,29372,0.02,0.025
3/9/2022,0.028,508,18240,0.031,0.022,167,7506,0.018,675,25746,0.026,0.026
3/8/2022,0.027,576,21058,0.032,0.019,186,9900,0.019,762,30958,0.025,0.027
3/7/2022,0.033,481,14487,0.032,0.016,239,14788,0.02,720,29275,0.025,0.028
3/6/2022,0.04,327,8112,0.034,0.029,123,4238,0.021,450,12350,0.036,0.029
3/5/2022,0.028,392,14083,0.035,0.024,101,4209,0.022,493,18292,0.027,0.03
3/4/2022,0.03,576,18937,0.036,0.016,169,10347,0.022,745,29284,0.025,0.031
3/3/2022,0.035,670,18900,0.037,0.015,222,15234,0.023,892,34134,0.026,0.032
3/2/2022,0.031,715,22966,0.039,0.027,227,8511,0.024,942,31477,0.03,0.034
3/1/2022,0.033,743,22782,0.041,0.027,278,10176,0.026,1021,32958,0.031,0.035
2/28/2022,0.044,659,15144,0.044,0.019,333,17313,0.027,992,32457,0.031,0.038
2/27/2022,0.055,495,9002,0.045,0.042,181,4312,0.029,676,13314,0.051,0.039
2/26/2022,0.04,605,15267,0.047,0.038,168,4391,0.029,773,19658,0.039,0.04
2/25/2022,0.037,851,23216,0.048,0.023,235,10320,0.03,1086,33536,0.032,0.042
2/24/2022,0.047,947,20270,0.051,0.018,320,17479,0.032,1267,37749,0.034,0.044
2/23/2022,0.042,1043,25120,0.053,0.039,355,9073,0.034,1398,34193,0.041,0.046
2/22/2022,0.05,1220,24600,0.057,0.034,422,12364,0.036,1642,36964,0.044,0.049
2/21/2022,0.056,962,17312,0.059,0.028,515,18541,0.038,1477,35853,0.041,0.051
2/20/2022,0.074,702,9431,0.062,0.052,236,4500,0.039,938,13931,0.067,0.053
2/19/2022,0.052,869,16694,0.064,0.049,285,5833,0.041,1154,22527,0.051,0.055
2/18/2022,0.051,1247,24233,0.067,0.033,446,13380,0.042,1693,37613,0.045,0.058
2/17/2022,0.063,1523,24040,0.071,0.027,528,19385,0.045,2051,43425,0.047,0.062
2/16/2022,0.061,1698,28001,0.077,0.054,631,11657,0.049,2329,39658,0.059,0.066
2/15/2022,0.06,1745,28971,0.081,0.045,692,15262,0.052,2437,44233,0.055,0.07
2/14/2022,0.084,1449,17159,0.089,0.036,806,22536,0.057,2255,39695,0.057,0.077
2/13/2022,0.093,996,10709,0.095,0.082,384,4704,0.064,1380,15413,0.09,0.084
2/12/2022,0.08,1414,17686,0.1,0.079,426,5383,0.068,1840,23069,0.08,0.088
2/11/2022,0.08,2049,25654,0.106,0.054,757,14066,0.072,2806,39720,0.071,0.093
2/10/2022,0.096,2381,24798,0.111,0.043,947,22123,0.073,3328,46921,0.071,0.096
2/9/2022,0.084,2779,33096,0.116,0.085,993,11665,0.074,3772,44761,0.084,0.099
2/8/2022,0.101,3652,36193,0.126,0.075,1166,15478,0.079,4818,51671,0.093,0.108
2/7/2022,0.132,3026,22919,0.137,0.064,1678,26419,0.085,4704,49338,0.095,0.117
2/6/2022,0.165,1952,11829,0.145,0.15,966,6431,0.092,2918,18260,0.16,0.124
2/5/2022,0.136,2077,15225,0.15,0.129,846,6580,0.095,2923,21805,0.134,0.129
2/4/2022,0.12,1688,14076,0.156,0.065,685,10552,0.097,2373,24628,0.096,0.133
2/3/2022,0.127,2520,19815,0.162,0.035,612,17376,0.09,3132,37191,0.084,0.133
2/2/2022,0.132,5051,38249,0.173,0.124,1647,13286,0.096,6698,51535,0.13,0.142
2/1/2022,0.146,5689,39017,0.186,0.105,2052,19520,0.104,7741,58537,0.132,0.153
1/31/2022,0.189,4774,25307,0.201,0.092,2873,31373,0.111,7647,56680,0.135,0.165
1/30/2022,0.209,3464,16582,0.21,0.182,1449,7978,0.121,4913,24560,0.2,0.174
1/29/2022,0.188,4119,21870,0.215,0.131,1315,10032,0.127,5434,31902,0.17,0.18
1/28/2022,0.173,6708,38880,0.221,0.062,2093,33634,0.134,8801,72514,0.121,0.187
1/27/2022,0.202,8573,42464,0.235,0.087,2914,33350,0.155,11487,75814,0.152,0.205
1/26/2022,0.206,9650,46773,0.245,0.184,3269,17752,0.165,12919,64525,0.2,0.216
1/25/2022,0.229,9938,43386,0.258,0.155,3700,23897,0.176,13638,67283,0.203,0.228
1/24/2022,0.263,8216,31203,0.268,0.135,5135,38062,0.185,13351,69265,0.193,0.238
1/23/2022,0.272,5651,20760,0.273,0.265,2932,11054,0.19,8583,31814,0.27,0.243
1/22/2022,0.24,9424,39342,0.277,0.232,2503,10786,0.192,11927,50128,0.238,0.247
1/21/2022,0.257,12857,50089,0.282,0.171,4230,24738,0.196,17087,74827,0.228,0.251
1/20/2022,0.263,15320,58173,0.286,0.142,5441,38441,0.2,20761,96614,0.215,0.256
1/19/2022,0.279,16874,60391,0.293,0.248,6357,25598,0.206,23231,85989,0.27,0.263
1/18/2022,0.296,15497,52297,0.299,0.211,6847,32405,0.21,22344,84702,0.264,0.268
1/17/2022,0.301,10862,36134,0.301,0.158,5643,35789,0.215,16505,71923,0.229,0.272
1/16/2022,0.317,9195,29001,0.305,0.293,3559,12131,0.218,12754,41132,0.31,0.275
1/15/2022,0.283,13040,46076,0.308,0.277,3450,12433,0.215,16490,58509,0.282,0.275
1/14/2022,0.282,18892,67017,0.314,0.2,5813,29032,0.211,24705,96049,0.257,0.277
1/13/2022,0.307,19523,63642,0.322,0.175,7412,42431,0.212,26935,106073,0.254,0.282
1/12/2022,0.311,21176,68078,0.329,0.269,8168,30403,0.211,29344,98481,0.298,0.287
1/11/2022,0.307,22776,74273,0.318,0.24,8249,34309,0.207,31025,108582,0.286,0.279
1/10/2022,0.334,17131,51326,0.314,0.188,9578,50945,0.194,26709,102271,0.261,0.271
1/9/2022,0.351,12124,34556,0.305,0.222,5096,22943,0.186,17220,57499,0.299,0.262
1/8/2022,0.335,16120,48117,0.299,0.216,4172,19339,0.186,20292,67456,0.301,0.258
1/7/2022,0.332,22602,68144,0.294,0.205,6578,32048,0.184,29180,100192,0.291,0.254
1/6/2022,0.347,24502,70633,0.291,0.168,6901,40989,0.182,31403,111622,0.281,0.251
1/5/2022,0.266,24652,92509,0.288,0.23,8681,37681,0.179,33333,130190,0.256,0.248
1/4/2022,0.287,24986,87122,0.299,0.166,8815,53019,0.178,33801,140141,0.241,0.253
1/3/2022,0.266,17932,67502,0.305,0.157,9808,62393,0.186,27740,129895,0.214,0.26
1/2/2022,0.274,10870,39608,0.315,0.213,4480,20987,0.19,15350,60595,0.253,0.268
1/1/2022,0.279,11538,41427,0.321,0.193,2957,15345,0.192,14495,56772,0.255,0.271
12/31/2021,0.318,16374,51538,0.324,0.198,5251,26562,0.191,21625,78100,0.277,0.272
12/30/2021,0.331,22949,69319,0.316,0.151,7194,47499,0.187,30143,116818,0.258,0.266
12/29/2021,0.33,22303,67512,0.302,0.228,8016,35133,0.18,30319,102645,0.295,0.254
12/28/2021,0.316,19746,62485,0.281,0.216,7528,34922,0.168,27274,97407,0.28,0.237
12/27/2021,0.334,14089,42202,0.266,0.164,7806,47629,0.156,21895,89831,0.244,0.222
12/26/2021,0.344,6845,19913,0.254,0.254,3848,15139,0.143,10693,35052,0.305,0.211
12/25/2021,0.281,6789,24153,0.247,0.16,1119,7003,0.135,7908,31156,0.254,0.205
12/24/2021,0.261,11460,43872,0.241,0.16,3137,19614,0.135,14597,63486,0.23,0.201
12/23/2021,0.25,13432,53703,0.234,0.114,4732,41518,0.129,18164,95221,0.191,0.193
12/22/2021,0.228,13439,58942,0.224,0.157,4324,27536,0.124,17763,86478,0.205,0.185
12/21/2021,0.234,11674,49784,0.214,0.145,4425,30457,0.12,16099,80241,0.201,0.178
12/20/2021,0.25,9642,38605,0.204,0.108,4383,40526,0.115,14025,79131,0.177,0.169
